name,title,patriarchate,metropolitan,episcopate,monasticism,birthdate,profile_url,image_url
Pope Tawadros II,Pope of Alexandria and Patriarch of the see of St. Mark,18/11/2012,,15/06/1997,31/07/1988,04/11/1952,https://copticorthodox.church/en/bishops/pope-tawadros-ii/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201551%201940'%3E%3C/svg%3E"
Metropolitan Antonius,"Metropolitan of Jerusalem & The Near East, Abbot of St. Anthony & St. George Monasteries, Jerusalem",,28/02/2016,28/02/2016,27/12/2006,25/07/1969,https://copticorthodox.church/en/bishops/metropolitan-antonius/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201551%201940'%3E%3C/svg%3E"
Metropolitan Wissa,Metropolitan of Baliana,,19/03/2006,22/06/1975,10/03/1972,16/07/1939,https://copticorthodox.church/en/bishops/metropolitan-wissa/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201638%202048'%3E%3C/svg%3E"
Metropolitan Pephnotious,Metropolitan of Samalout,,28/02/2016,13/06/1976,12/03/1972,12/11/1948,https://copticorthodox.church/en/bishops/metropolitan-pephnotious/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201638%202048'%3E%3C/svg%3E"
Metropolitan Benyamin,Metropolitan of Monufia,,28/02/2016,13/06/1976,24/06/1973,24/06/1947,https://copticorthodox.church/en/bishops/metropolitan-benyamin/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201627%202034'%3E%3C/svg%3E"
Metropolitan Tadros,Metropolitan of Portsaid,,28/02/2016,14/11/1976,05/05/1974,01/02/1943,https://copticorthodox.church/en/bishops/metropolitan-tadros/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201638%202048'%3E%3C/svg%3E"
Metropolitan Serapion,"Metropolitan of Los Angeles, Southern California & Hawaii",,28/02/2016,02/06/1985,06/08/1979,10/11/1951,https://copticorthodox.church/en/bishops/metropolitan-serapion/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201638%202048'%3E%3C/svg%3E"
Metropolitan Poula,"Metropolitan of Tanta, and the Papal Vicar of Diocese of Beheira, Matrouh, & the Five Western Cities, and St. Macarius of Alexandria Monastery in Mount Al-Qalali",,25/11/2018,25/05/1980,24/04/1976,23/08/1951,https://copticorthodox.church/en/bishops/metropolitan-poula/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201638%202048'%3E%3C/svg%3E"
Metropolitan Bessada,Metropolitan of Akhmim & Saqolta,,25/11/2018,25/05/1980,07/07/1974,20/10/1945,https://copticorthodox.church/en/bishops/metropolitan-bessada/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201638%202048'%3E%3C/svg%3E"
Metropolitan Endrawes,"Metropolitan of Abu Tej, Sadfa & Alghanaim",,25/11/2018,25/05/1980,24/03/1977,23/05/1946,https://copticorthodox.church/en/bishops/metropolitan-endrawes/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%202048%202560'%3E%3C/svg%3E"
